id,yearBuilt,numberOfFloors,energyStarScore,electricity,emissionsIntensity
27685,1968,4,49.0,1290809.0,0.2
27363,1980,4,49.0,836446.0,0.1
813,1966,1,49.0,1415156.0,0.0
26190,1928,4,49.0,398808.0,4.2
292,1927,3,50.0,771831.0,2.7
50385,2015,6,50.0,941190.0,1.1
49731,2012,7,50.0,2036253.0,1.4
20871,1900,2,50.0,1227464.0,0.2
21476,2000,28,50.0,31294806.0,1.0
24244,1948,2,50.0,512334.0,1.2
25770,1966,4,50.0,1073134.0,0.1
21674,1978,3,50.0,787227.0,0.3
27901,2000,2,50.0,649697.0,1.6
23115,1979,1,51.0,428757.0,0.0
19862,1979,3,51.0,1759045.0,0.2
21937,2007,4,51.0,1637413.0,0.3
23559,2007,6,51.0,3280203.0,0.1
23643,1929,4,51.0,268566.0,2.6
389,1923,12,51.0,23510645.0,3.1
387,1960,21,51.0,16175494.0,2.9
26125,1904,3,51.0,1058100.0,1.4
266,2007,4,51.0,1710764.0,0.1
62,1930,20,51.0,4708137.0,1.9
19894,1955,2,51.0,1844547.0,0.2
20140,1956,2,51.0,949740.0,0.1
692,1983,6,51.0,4813691.0,0.2
21786,1975,1,51.0,596859.0,0.6
21687,1962,2,51.0,575189.0,2.6
26728,1925,4,51.0,1575032.0,5.7
21604,2008,2,51.0,848496.0,0.7
626,1954,1,51.0,748947.0,0.0
20836,1985,5,52.0,4651167.0,0.2
20861,1988,3,52.0,718703.0,1.7
21374,1924,4,52.0,549041.0,3.5
19787,1949,2,52.0,145978.0,2.2
677,1973,19,52.0,11089106.0,1.6
21941,2000,12,52.0,6399888.0,1.1
26844,1973,12,52.0,2643333.0,0.8
20087,1978,5,52.0,1792068.0,2.6
27195,1924,7,52.0,1119058.0,4.1
23896,1990,1,52.0,467272.0,1.6
22390,1979,4,52.0,812695.0,0.2
26008,1917,4,52.0,260521.0,3.5
359,2003,8,52.0,9283605.0,1.6
23080,1927,3,52.0,338823.0,3.5
24270,1951,2,52.0,712783.0,1.0
23530,1980,3,53.0,1162817.0,0.1
19921,1923,3,53.0,818807.0,0.1
27213,1965,3,53.0,798699.0,0.2
763,1909,6,53.0,2675547.0,0.1
679,1900,6,53.0,2675922.0,0.1
22363,1988,4,53.0,1489921.0,0.1
22371,1992,10,53.0,1075917.0,0.1
20005,1997,4,53.0,613936.0,0.1
23960,1947,1,53.0,387919.0,0.9
20976,1977,1,53.0,467878.0,0.1
388,1976,42,53.0,38564028.0,0.2
475,2002,5,53.0,21845514.0,1.6
121,2003,3,53.0,5128164.0,0.2
26506,1990,4,53.0,1164251.0,1.0
10,1926,11,53.0,2526245.0,2.2
21510,1995,5,53.0,1847408.0,2.6
25182,1971,11,53.0,3148204.0,0.7
19808,1980,5,54.0,1574712.0,0.1
735,1974,3,54.0,809747.0,1.6
21691,2009,7,54.0,702226.0,1.3
23935,1924,1,54.0,377687.0,2.0
21605,1962,3,54.0,1017603.0,0.1
23874,2009,7,54.0,3603751.0,1.4
23187,1991,4,54.0,2429591.0,1.1
21822,1912,1,54.0,444814.0,1.0
20726,1970,8,54.0,1373435.0,0.7
24472,1968,1,54.0,1387590.0,1.2
24598,1955,2,54.0,1051854.0,0.1
24909,1928,2,54.0,270547.0,1.3
340,1900,6,54.0,3891383.0,0.1
21290,1985,5,54.0,3782717.0,0.2
25673,1920,1,54.0,1066134.0,0.4
658,2000,11,54.0,24285951.0,0.2
767,1998,13,54.0,16366716.0,0.2
26354,1969,3,54.0,627420.0,0.1
27122,1951,2,54.0,426638.0,1.5
27873,1910,6,55.0,1685679.0,1.4
621,1922,1,55.0,1164903.0,1.0
294,1913,9,55.0,2688853.0,1.9
21483,1915,6,55.0,1973723.0,0.8
21459,1964,4,55.0,495441.0,0.1
24911,1929,3,55.0,220040.0,1.5
601,1904,2,55.0,2591831.0,0.8
22930,1959,4,55.0,727993.0,0.1
25414,2003,6,55.0,1313553.0,0.1
26429,1955,7,55.0,2296824.0,3.0
21568,1962,4,55.0,3801302.0,1.3
21365,1963,3,55.0,2011294.0,1.3
49797,2013,3,55.0,2896333.0,0.2
23574,1970,9,55.0,1897334.0,0.8
21213,1951,2,55.0,1617366.0,0.9
20376,1971,1,55.0,1239483.0,0.7
21723,1908,3,55.0,444226.0,1.7
20714,1907,3,55.0,182072.0,3.1
802,1963,1,55.0,4187534.0,5.0
729,1987,1,55.0,1321951.0,0.2
831,1990,5,56.0,12715947.0,0.6
27716,2006,5,56.0,816642.0,0.3
20620,1998,1,56.0,458278.0,1.6
20970,1966,2,56.0,2619072.0,5.2
20369,2012,2,56.0,3033578.0,0.2
22107,1930,3,56.0,299479.0,2.9
26392,1912,2,56.0,1191835.0,0.1
21108,1919,2,56.0,1079204.0,1.7
409,1984,6,56.0,6172202.0,0.2
26716,1908,11,56.0,4118721.0,1.9
26434,1930,3,56.0,212264.0,3.9
26473,1957,1,56.0,5128103.0,8.8
24083,1937,1,56.0,560433.0,0.3
